"event_id","event_consumer_id","event_mortgage_id","event_created_date","event_alias"
"f173efb7-460d-4533-8619-9d6ad8368e5b","a5f48d8b-aeec-4f60-9d03-bb94efe67f23","fc116973-d81a-4cec-a831-e037e36d48af","2024-05-01","email_sent"
"6eddedd8-23fe-442c-bede-9c00911370f8","ea82170e-0e1f-4a64-9b49-09ef86874ac0","b0a17481-a9f8-4833-9948-77c2cb90ea3c","2024-05-01","email_sent"
"a7cbc847-3afd-439a-99c7-f0b55a443d3a","0cd8a47a-670f-4169-bcd4-b0e1c6cf4bb5","5b0409a6-fe08-4a12-8b71-cd83d0c54789","2024-05-01","email_sent"
"9bc71cd8-43b5-41fb-b268-d4a44bd5cc08","d1a23691-6dbb-41c8-baf7-beda3af5a257","9c69553f-bbd4-4e21-8693-6d982f0e627b","2024-05-01","email_sent"
"80ca049b-d21d-4e1d-9fa8-88a2119a9cd9","86a3c0a8-5957-48af-8b09-3f1611b3f899","46e7d0e1-838e-4aa1-b85c-a5d93b350469","2024-05-01","email_sent"
"920693ca-99d1-468e-ad8a-b0090346834a","5b58d049-ffcb-4df3-99e8-2576ac88cabe","b1a12d40-d82b-4ad9-93f1-71cbe793a041","2024-05-02","email_sent"
"e3d1c658-8a7a-45a8-9cb6-b53d25c97637","9ea1d69b-8277-4509-8e54-d05fa631915a","0fe8250b-92b4-405c-a9f5-de55355e0b28","2024-05-03","email_sent"
"9e5c719f-46b7-46a7-9210-0ed2a239ebb3","d70ca745-4cb4-4f23-a59b-e1279b3e28a4","0fe8250b-92b4-405c-a9f5-de55355e0b28","2024-05-03","email_sent"
"e8d3ab3b-28fb-43e8-bac5-2f1810ba62d6","ee231584-2c5c-4365-87f8-81913d9d0889","","2024-05-04","email_clicked"
"66b1e01b-66e0-4775-ab6d-aed9a4c834dc","ee231584-2c5c-4365-87f8-81913d9d0889","","2024-05-04","email_clicked"
"f168d084-d2fe-461e-ac17-42463012ed0b","ee231584-2c5c-4365-87f8-81913d9d0889","","2024-05-04","email_clicked"
"2eee76ad-45d9-41c3-a3c2-44a26c5ffb8a","ee231584-2c5c-4365-87f8-81913d9d0889","038e6804-4878-4a6e-b18c-d43b164e90be","2024-05-03","email_sent"
"69d42e60-b735-42d7-a9f3-68481ceb77cf","0cd8a47a-670f-4169-bcd4-b0e1c6cf4bb5","5b0409a6-fe08-4a12-8b71-cd83d0c54789","2024-05-03","email_sent"
"211e9f31-1bf7-4cca-9769-d11ae1cb2ea7","3a59ee4b-24cd-4a8b-bf2b-0803101813c2","ae6025a0-a73a-48a1-9532-68c66867d5a2","2024-05-06","email_sent"
"066a9300-af08-474f-b26f-ec598d85b777","16a1cb32-5816-4e77-965f-10c0461f06a3","","2024-05-07","email_clicked"
"b47c870a-b0c9-4cea-82a3-285075372874","16a1cb32-5816-4e77-965f-10c0461f06a3","","2024-05-07","logged_in"
"985ad77d-e598-423f-a3e1-01cc5f21809d","ef735dd1-23ed-4b8b-a3cc-1578ad638bc3","1726178f-71a5-46ae-a821-2af8aa9c9dd8","2024-05-10","email_sent"
"4cd9c62d-7e6d-47f3-af03-22b4d2ec9f70","f11aea50-322e-4c5a-9940-fcd5f500fb35","b0a359e7-bab0-4de7-9d00-3f0df71666ad","2024-05-10","email_sent"
"815c584b-ec88-4088-80ff-e4babaeb2cf0","c003a584-8a37-4ee8-b46f-87bed0c52749","","2024-05-08","logged_in"
"74c039ab-17a8-4f8d-8645-fb82b2928523","c003a584-8a37-4ee8-b46f-87bed0c52749","","2024-05-08","intent"
"12a67d32-8d87-4e17-ad47-5be9f696a088","e860d051-f953-4c30-af65-1fa65e3c0db5","b7337e53-3b66-437a-8cc0-f87da2dc64b8","2024-05-10","email_sent"
"d5a99b9a-bf50-4389-a8b3-d7d2a1f05600","c003a584-8a37-4ee8-b46f-87bed0c52749","","2024-05-08","intent"
"888b4bb6-2220-4e62-8eaf-b39a73229ca1","c003a584-8a37-4ee8-b46f-87bed0c52749","","2024-05-08","email_clicked"
"3c2ac671-73ef-4f97-af1c-1c4d3b51e868","12fbf340-9870-45dc-819e-faaec5b436ad","","2024-05-10","email_clicked"
"6564fbfb-6509-4ed8-b32e-d22a75fd5b71","39ffbca1-5c9f-4c85-9cbc-ddad8c26dd99","4610ce07-e41b-4130-bb45-24160faf618f","2024-05-10","email_sent"
"7d721712-ef70-47a6-9918-cd705a062104","12fbf340-9870-45dc-819e-faaec5b436ad","","2024-05-10","email_clicked"
"5c19259e-8852-45f2-bcad-55fb2461be1f","12fbf340-9870-45dc-819e-faaec5b436ad","","2024-05-10","logged_in"
"65e05160-c5c7-49ab-9fad-420d43d92019","12fbf340-9870-45dc-819e-faaec5b436ad","","2024-05-10","intent"
"f99d5288-35a2-4b26-a3b1-3dc400f9e1c3","12fbf340-9870-45dc-819e-faaec5b436ad","","2024-05-10","email_clicked"
"fe0d7d08-d5ef-4388-8c6e-1adbbeecba70","12fbf340-9870-45dc-819e-faaec5b436ad","8edade7d-da73-4f80-8a03-19db6f30beb1","2024-05-10","email_sent"
"44b78e2a-807b-4e6d-9726-de93d3c77ec4","126884c2-a864-484a-b502-5c6cbf528bf1","51060c26-bbf4-460b-ae84-7bf1da03975f","2024-05-10","email_sent"
